Timestamp,Age,Gender,Job Occupation: ,Years of experience in your current field,How familiar are you with the concept of big data analytics in healthcare? ,"In your opinion, how important is big data analytics in forecasting disease outbreaks and epidemic trends? ",How frequently do you think big data analytics has been used effectively in recent epidemic forecasting? ,What types of data do you believe are most useful for forecasting disease outbreaks using big data? ,Which big data sources do you consider most reliable for epidemic forecasting? ,What analytical methodologies do you think are most effective in disease outbreak forecasting? ,Have you or your organisation used any big data-driven tools or models for epidemic forecasting?,How would you rate the accuracy of current big data analytics models in predicting epidemic outbreaks? ,"In your experience, how timely are predictions generated by big data analytics for disease outbreaks? ",How confident are you in decision-making based on big data-driven epidemic forecasts? ,Do you believe that big data analytics can improve early diagnosis and response to epidemics? ,What challenges have you observed related to the implementation of big data forecasting models in healthcare systems? ,How concerned are you about privacy issues related to using big data in disease outbreak forecasting? ,Do you think there are sufficient regulations and policies guiding the ethical use of big data in health monitoring? ,How important is transparency in data usage and forecasting models to public trust? ,"In your opinion, what is the biggest ethical challenge when integrating big data analytics in disease forecasting? ",How feasible do you think it is to integrate big data analytics seamlessly into existing health monitoring systems?,What support or resources are needed most to overcome practical challenges in using big data for epidemic forecasting? ,Do you believe that big data analytics will become a standard part of disease outbreak prediction in the near future? ,What do you think is the single most important factor for improving early diagnosis of epidemics using big data analytics? 
2025/06/06 3:43:05 pm GMT+5:30,25-34,Male,Data analyst,1-3 years,Very familiar,Less important,Very frequently,Environmental and climate data;Mobility and travel data,Public health databases,"Statistical modelling (e.g., time series analysis)",No,Very accurate,Occasionally delayed,Not confident,Neutral,Data integration difficulties;Lack of skilled personnel;Privacy and security concerns,Concerned,Disagree,Important,Potential misuse of data,Very feasible,Training and capacity building;Regulatory frameworks;Public awareness and education,Neutral,Better data quality
2025/06/06 3:44:22 pm GMT+5:30,25-34,Female,Researcher,4-6 years,Very familiar,Not important,Very frequently,Hospital and clinical records;Genomic data,Search engine queries,"Statistical modelling (e.g., time series analysis)",No,Very accurate,Occasionally delayed,Not confident,Neutral,Data quality issues;Privacy and security concerns,Concerned,Strongly agree,Less important,Potential misuse of data,Feasible,Improved data infrastructure;Funding and investments,Neutral,Better data quality
2025/06/06 3:45:02 pm GMT+5:30,Under 25,Male,Healthcare professional,Less than 1 year,Somewhat familiar,Important,Very frequently,Social media data;Hospital and clinical records,Public health databases,Natural language processing (NLP),No,Somewhat inaccurate,Very timely,Slightly confident,Strongly disagree,Data quality issues;Privacy and security concerns,Slightly concerned,Strongly agree,Important,Data privacy and consent,Very difficult,Training and capacity building;Improved data infrastructure,Agree,Better data quality
2025/06/06 3:45:44 pm GMT+5:30,55 and above,Non-binary,Healthcare professional,4-6 years,Somewhat familiar,Neutral,Very frequently,Environmental and climate data;Genomic data,Public health databases,"Statistical modelling (e.g., time series analysis)",No,Very accurate,Very timely,Confident,Neutral,Data integration difficulties;Privacy and security concerns,Slightly concerned,Neutral,Important,Data privacy and consent,Very feasible,Regulatory frameworks;Funding and investments;Public awareness and education,Strongly agree,Better data quality
2025/06/06 3:46:22 pm GMT+5:30,55 and above,Non-binary,Healthcare professional,7-10 years,Not familiar,Neutral,Occasionally,Environmental and climate data;Genomic data,Satellite and sensor data,Natural language processing (NLP),Yes,Somewhat inaccurate,Occasionally delayed,Not confident,Disagree,Lack of skilled personnel,Concerned,Strongly agree,Less important,Potential misuse of data,Very feasible,Regulatory frameworks;Public awareness and education,Disagree,Better data quality
2025/06/06 3:47:13 pm GMT+5:30,25-34,Female,Researcher,4-6 years,Somewhat familiar,Important,Occasionally,Hospital and clinical records;Genomic data,Mobile phone tracking data,"Statistical modelling (e.g., time series analysis)",Yes,Somewhat inaccurate,Timely,Confident,Neutral,Data integration difficulties;Limited infrastructure,Concerned,Disagree,Less important,Accountability of automated decisions,Neutral,Training and capacity building;Funding and investments,Neutral,Advanced analytical models
2025/06/06 3:47:24 pm GMT+5:30,45-54,Prefer not to say,Researcher,7-10 years,Very familiar,Not important,Very frequently,Hospital and clinical records;Mobility and travel data,Satellite and sensor data,Machine learning models,Not applicable,Somewhat accurate,Very timely,Not confident,Disagree,Data quality issues;Privacy and security concerns,Extremely concerned,Neutral,Less important,Data bias and fairness,Very feasible,Improved data infrastructure;Funding and investments,Disagree,Advanced analytical models
2025/06/06 3:47:42 pm GMT+5:30,35-44,Male,Researcher,4-6 years,Somewhat familiar,Neutral,Never,Social media data;Hospital and clinical records;Environmental and climate data,Social media platforms,Machine learning models,Yes,Somewhat accurate,Occasionally delayed,Confident,Disagree,Data integration difficulties;Limited infrastructure,Slightly concerned,Strongly agree,Less important,Accountability of automated decisions,Neutral,Training and capacity building;Public awareness and education,Agree,Better data quality
2025/06/06 3:48:05 pm GMT+5:30,25-34,Non-binary,Researcher,Less than 1 year,Somewhat familiar,Not important,Occasionally,Social media data;Hospital and clinical records;Genomic data,Search engine queries,Machine learning models,Not applicable,Somewhat inaccurate,Very timely,Confident,Strongly disagree,Data integration difficulties;Limited infrastructure,Concerned,Strongly agree,Very important,Potential misuse of data,Feasible,Funding and investments,Strongly agree,Advanced analytical models
2025/06/06 3:48:16 pm GMT+5:30,Under 25,Male,Data analyst,Less than 1 year,Somewhat familiar,Less important,Rarely,Hospital and clinical records;Mobility and travel data,Social media platforms,"Statistical modelling (e.g., time series analysis)",Not applicable,Somewhat accurate,Timely,Neutral,Neutral,Data integration difficulties;Limited infrastructure,Neutral,Strongly agree,Neutral,Accountability of automated decisions,Neutral,Improved data infrastructure;Regulatory frameworks;Public awareness and education,Strongly disagree,Advanced analytical models
